instruction,response,history
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 40 minutes le mardi.,"Utilisateur: Bonjour, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le mardi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Tu peux me rappeler mon prenom ?,Ton prenom est Nadia.,"Utilisateur: Salut, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Paris. ||| Assistant: Parfait, je retiens ta ville."
Qu'est-ce que je fais?,"S'il me voit, il s'enfuira, alors je sortirai. Tu commences à lui parler de baseball pendant que je me faufile derrière et que tu le pousses. Quand il tombera, on l'aura.",
Et ma ville ?,Ta ville est Lille.,"Utilisateur: Salut, je m'appelle Mehdi. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Lea.,"Utilisateur: Salut, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lyon. ||| Assistant: Parfait, je retiens ta ville."
"C'est fou, Dave et ça n'a pas d'importance. Il a une immunité totale et son histoire est vérifiée. Il ne sait pas ce que tu veux savoir.","Je ne crois pas. Pas exactement, mais il y a beaucoup plus à son histoire. Je veux savoir pourquoi 27 hommes sont morts sur cette jetée pour ce qui semble être 90 millions de dollars de dope qui n'était pas là. Surtout, je veux être sûr que Dean Keaton est mort.",
Quel est mon prenom ?,Ton prenom est Rachid.,"Utilisateur: Bonjour, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Nantes. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le mercredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Rappelle mon prenom et ma ville.,Tu t'appelles Amine et ta ville est Marseille.,"Utilisateur: Salut, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Marseille. ||| Assistant: Parfait, je retiens ta ville."
Et ma ville ?,Ta ville est Nantes.,"Utilisateur: Salut, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
"Ni l'une ni l'autre, ni l'autre.","Pourquoi es-tu venu ici, et pourquoi? Les murs du jardin sont hauts et durs à monter, Et le lieu mort, considérant qui tu es, Si l'un de mes parents te trouve ici.",
Quoi?,"Rien. Pas de pas dans les escaliers. Pas d'avion par la fenêtre. Pas de clic sur les petits espions. Personne ne s'écrase par cette porte. Et tu sais pourquoi je n'entends rien de tout ça, Danny? Parce que maintenant, les Precogs ne voient pas.",
Dans quelle ville j'habite ?,Tu habites a Toulouse.,"Utilisateur: Bonjour, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le lundi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Tu peux me rappeler mon prenom ?,Ton prenom est Amine.,"Utilisateur: Salut, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon prenom ?,Ton prenom est Sofia.,"Utilisateur: Bonjour, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le lundi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Ouais, tu sais, ""O.K. Buster, suivez cette voiture, il y a un sciage dedans pour vous si vous êtes vraiment proche!","Oui, je suis avec toi. [il change son accent] Mais, monsieur, j'ai mon permis de penser à... on fait une centaine maintenant...",
Et ma ville ?,Ta ville est Bordeaux.,"Utilisateur: Salut, je m'appelle Ines. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 20 minutes le lundi.,"Utilisateur: Bonjour, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le lundi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Dans quelle ville j'habite ?,Tu habites a Lille.,"Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Tu peux me rappeler mon prenom ?,Ton prenom est Nadia.,"Utilisateur: Salut, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lyon. ||| Assistant: Parfait, je retiens ta ville."
Il a peur de toi. Il savait que tu voudrais le combattre. Il ne sait rien des combats. Il déteste la douleur.,"Et vous, une femme en santé, ne le détestez pas pour sa lâcheté?",
Quel est mon sport prefere ?,Ton sport prefere est le tennis.,"Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le tennis. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le jeudi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Quel est mon prenom ?,Ton prenom est Lea.,"Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Paris. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le vendredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
"Ouais, je sais ce putain d'émission Walter, et alors?",Arthur Digby Sellers a écrit 156 épisodes.,
Dans quelle ville j'habite ?,Tu habites a Lille.,"Utilisateur: Bonjour, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le mercredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
C'est ce que c'est.,"Le même problème, Leon. Tu es toujours en retard. Que vous m'emmeniez à l'Opéra ou que vous m'appeliez dans une boutique de beauté, vous n'êtes jamais à l'heure. Et maintenant, quand il s'agit de votre réforme -- dernièrement. Dans cinq minutes.",
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Yanis, tu habites a Lyon, ton sport prefere est le running, et tu veux t'entrainer 40 minutes le samedi.","Utilisateur: Bonjour, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Et ma ville ?,Ta ville est Nantes.,"Utilisateur: Salut, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon prenom et ma ville.,Tu t'appelles Nadia et ta ville est Bordeaux.,"Utilisateur: Salut, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Bordeaux. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon prenom et ma ville.,Tu t'appelles Mehdi et ta ville est Nantes.,"Utilisateur: Salut, je m'appelle Mehdi. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
"Il a tort, tu sais... à propos de Kennedy, LBJ, Truman.",Comment ça?,
Quel est mon sport prefere ?,Ton sport prefere est le running.,"Utilisateur: Bonjour, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lyon. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le vendredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Et ma ville ?,Ta ville est Toulouse.,"Utilisateur: Salut, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Je peux tuer des gens ordinaires.,Il ne fait que ce que tu lui as dit.,
Et il était plein d'eau quand je suis passé ici il y a trois jours. Complète. Je veux dire... une rivière.,La petite rivière. Vous avez raison. Ça en fait partie. Celui qui a coulé cette voiture n'a pas compensé la sécheresse. Mon Dieu.,
Et ma ville ?,Ta ville est Toulouse.,"Utilisateur: Salut, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Toulouse. ||| Assistant: Parfait, je retiens ta ville."
Dans quelle ville j'habite ?,Tu habites a Toulouse.,"Utilisateur: Bonjour, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le natation. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 60 minutes le mardi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Lea, tu habites a Toulouse, ton sport prefere est le tennis, et tu veux t'entrainer 40 minutes le samedi.","Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le tennis. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le samedi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Quel est mon prenom ?,Ton prenom est Sofia.,"Utilisateur: Bonjour, je m'appelle Sofia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le velo. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 20 minutes le mardi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Je ne fuis pas.,"Donc si tu ne cours pas et Ike Graham est là pour le voir, alors tout article qu'il écrit doit avoir une fin heureuse, non? On ne fait que transformer le citron en limonade.",
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Nadia, tu habites a Lille, ton sport prefere est le basket, et tu veux t'entrainer 45 minutes le mercredi.","Utilisateur: Bonjour, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le basket. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 45 minutes le mercredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Comment ça?,"Il y a quelques jours, ils ont trouvé un corps à Washington Heights - Mary Finelli. La fille a disparu en 68. Il s'avère qu'elle était son premier meurtre. Ce qui signifie qu'il la connaissait probablement. La plupart des séries connaissent leur première victime. Je vais vérifier si je peux mettre tout ça ensemble...",
Rappelle mon objectif d'entrainement.,Ton objectif est de t'entrainer 30 minutes le mercredi.,"Utilisateur: Bonjour, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Marseille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le running. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 30 minutes le mercredi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Et ma ville ?,Ta ville est Lyon.,"Utilisateur: Salut, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lyon. ||| Assistant: Parfait, je retiens ta ville."
Rappelle mon prenom et ma ville.,Tu t'appelles Karim et ta ville est Lille.,"Utilisateur: Salut, je m'appelle Karim. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
Et ma ville ?,Ta ville est Lille.,"Utilisateur: Salut, je m'appelle Sarah. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Mehdi.,"Utilisateur: Salut, je m'appelle Mehdi. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nantes. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Yanis.,"Utilisateur: Salut, je m'appelle Yanis. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Lille. ||| Assistant: Parfait, je retiens ta ville."
Tu peux me rappeler mon prenom ?,Ton prenom est Rachid.,"Utilisateur: Salut, je m'appelle Rachid. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Paris. ||| Assistant: Parfait, je retiens ta ville."
"Il est encore tôt, M. Rains. Jesse James et moi apprenons comment l'un et l'autre se déplacent, se sentant différents.",Je perds des millions de dollars et des mois pendant que tu joues aux échecs avec ces fermiers!,
"Ambassadeur, je ne savais pas que vous étiez là... Je pense que vous connaissez mon équipage...","Je vais vous parler seul, Kirk.",
Et ma ville ?,Ta ville est Nice.,"Utilisateur: Salut, je m'appelle Amine. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: Je viens de Nice. ||| Assistant: Parfait, je retiens ta ville."
Quel est mon sport prefere ?,Ton sport prefere est le tennis.,"Utilisateur: Bonjour, je m'appelle Nadia. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Lille. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le tennis. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le dimanche. ||| Assistant: Tres bien, je retiens ton objectif sportif."
Êtes-vous par nature une personne sadique?,"Non, pas du tout. Je ne sais pas pourquoi j'ai dit ça. J'ai été d'humeur très... étrange toute la journée. Je n'ai jamais rien fait de tel. C'est juste que... Le monde entier devient dingue.",
Fais un recapitulatif de ce que tu sais sur moi.,"Tu t'appelles Lea, tu habites a Toulouse, ton sport prefere est le foot, et tu veux t'entrainer 40 minutes le mardi.","Utilisateur: Bonjour, je m'appelle Lea. ||| Assistant: Enchante, je retiens ton prenom. ||| Utilisateur: J'habite a Toulouse. ||| Assistant: D'accord, je retiens ta ville. ||| Utilisateur: Mon sport prefere est le foot. ||| Assistant: Parfait, je retiens ton sport prefere. ||| Utilisateur: Demain je veux m'entrainer 40 minutes le mardi. ||| Assistant: Tres bien, je retiens ton objectif sportif."
On est allés se battre pour toi -- et maintenant tu ne joueras plus au ballon avec nous.,"Après tout, c'est mon appartement -- c'est une propriété privée -- ce n'est pas une aire de jeux publique.",
